DUT, Measurement Condition,Dial,L,L_Std,R,R_Std
BBC,Temperature at Dial 0 is 21.16,Dial 0,9.016825541888889e-07,9.039022722415216e-10,0.040444899096666674,4.257989680658127e-05
BBC,Temperature at Dial 1 is 21.10,Dial 1,0.1039533245,1.0611327673684484e-07,168.46520983333332,0.0009393882091574556
BBC,Temperature at Dial 2 is 21.09,Dial 2,0.20786398862222222,2.0298767682694313e-07,244.5263687888889,0.0028553444872939523
BBC,Temperature at Dial 3 is 21.09,Dial 3,0.30464600098888883,2.2107276202591002e-07,302.2904282555556,0.0017886987575519242
BBC,Temperature at Dial 4 is 21.06,Dial 4,0.39950381237777777,2.7328938772982496e-07,351.4618944666666,0.0039473527046706685
BBC,Temperature at Dial 5 is 21.06,Dial 5,0.4955705029888889,5.161170154214757e-07,397.53884407777775,0.005280608428667393
BBC,Temperature at Dial 6 is 21.06,Dial 6,0.5935897716333334,4.047432519658975e-07,441.49900146666664,0.010001533499555109
BBC,Temperature at Dial 7 is 21.06,Dial 7,0.6914721027333333,7.235891306521702e-07,483.14920967777783,0.005690343056398989
BBC,Temperature at Dial 8 is 21.05,Dial 8,0.7852391738444443,6.973795328278366e-07,521.7778494444444,0.009064487184511015
BBC,Temperature at Dial 9 is 21.05,Dial 9,0.8809757660777778,8.72221949647954e-07,560.3644778666667,0.007213271889366463
BBC,Temperature at Dial 10 is 21.05,Dial 10,0.9884373068444445,1.1080633647523494e-06,601.6917918111112,0.007405308986522655
