DUT, Measurement Condition,Dial,L,L_Std,R,R_Std
BBT,Temperature at Dial 0 is 21.09,Dial 0,2.1435782252222224e-07,1.0917233179279668e-10,0.01943735049222222,3.555135124828227e-05
BBT,Temperature at Dial 1 is 21.09,Dial 1,0.10392203903333334,7.747083322081393e-08,168.30003720000002,0.0011043268809533603
BBT,Temperature at Dial 2 is 21.10,Dial 2,0.20773348726666666,1.328123676452297e-07,244.14496992222223,0.0030619984216896474
BBT,Temperature at Dial 3 is 21.10,Dial 3,0.3043625482555556,1.5904372913935841e-07,301.6672420888889,0.0017638955981373423
BBT,Temperature at Dial 4 is 21.10,Dial 4,0.39901256488888887,3.590138174458187e-07,350.52619683333336,0.0039570041647589
BBT,Temperature at Dial 5 is 21.10,Dial 5,0.4948113554777777,3.3268661973520465e-07,396.26497465555553,0.003570951996700436
BBT,Temperature at Dial 6 is 21.10,Dial 6,0.5924979085555555,2.987361005453858e-07,439.8741004666667,0.006025826836420013
BBT,Temperature at Dial 7 is 21.09,Dial 7,0.6899871407,5.865193901344104e-07,481.0482940333334,0.005490817972752117
BBT,Temperature at Dial 8 is 21.09,Dial 8,0.7833206438444446,4.7215597823514226e-07,519.1956501333334,0.007128661442896461
BBT,Temperature at Dial 9 is 21.10,Dial 9,0.8785589187333334,6.030439328927008e-07,557.2592503777778,0.008403941481919504
BBT,Temperature at Dial 10 is 21.09,Dial 10,0.9853924682111111,1.126370127251619e-06,597.9278580333333,0.019566652314451677
