DUT, Measurement Condition,Dial,L,L_Std,R,R_Std
BTC,Temperature at Dial 0 is 20.94,Dial 0,8.07162363888889e-07,1.9258111022235313e-09,0.03944141915888889,7.846843321278825e-06
BTC,Temperature at Dial 1 is 20.96,Dial 1,0.10395874305555555,5.292209158773281e-08,168.4377127,0.0005979530060990741
BTC,Temperature at Dial 2 is 20.98,Dial 2,0.20787444248888887,2.915950850261511e-07,244.46014822222222,0.002946558345239576
BTC,Temperature at Dial 3 is 20.99,Dial 3,0.30466241499999996,2.5402132784023635e-07,302.2119714333333,0.0023833493129411095
BTC,Temperature at Dial 4 is 21.00,Dial 4,0.3995252486111111,1.7259758431962986e-07,351.3596052666666,0.003907065651801841
BTC,Temperature at Dial 5 is 21.00,Dial 5,0.4955967179666667,4.6090635708233873e-07,397.4338024,0.0024745196059088536
BTC,Temperature at Dial 6 is 21.01,Dial 6,0.5936223005999999,4.22210054336901e-07,441.3742000111111,0.004862780932875445
BTC,Temperature at Dial 7 is 21.04,Dial 7,0.6915100789444444,5.005900346378711e-07,483.02967847777774,0.005331558186343465
BTC,Temperature at Dial 8 is 21.04,Dial 8,0.785283351311111,9.164228287985965e-07,521.611136488889,0.008059556247950747
BTC,Temperature at Dial 9 is 21.04,Dial 9,0.8810252604555555,7.232338645231014e-07,560.1832885888889,0.011510617782474674
BTC,Temperature at Dial 10 is 21.04,Dial 10,0.9884932825999999,6.793058589522227e-07,601.4961539777778,0.014171282302846483
