DUT, Measurement Condition,Dial,L,L_Std,R,R_Std
BTT,Temperature at Dial 0 is 21.01,Dial 0,1.614373327e-07,1.7469986636292153e-10,0.020617177997777777,1.155774050961453e-05
BTT,Temperature at Dial 1 is 21.00,Dial 1,0.10392510993333334,8.000737465942585e-08,168.21657775555556,0.0009288911684319717
BTT,Temperature at Dial 2 is 21.00,Dial 2,0.20774060291111113,1.9067030736417067e-07,244.02307348888885,0.00197803896981445
BTT,Temperature at Dial 3 is 21.00,Dial 3,0.3043741400333334,2.651489062804453e-07,301.5269824111111,0.0014669066453410983
BTT,Temperature at Dial 4 is 21.00,Dial 4,0.39902842222222223,2.767779244306585e-07,350.3498421555556,0.003671000482875094
BTT,Temperature at Dial 5 is 21.01,Dial 5,0.4948320773666667,3.912300250510319e-07,396.0672556555556,0.0046000248336645335
BTT,Temperature at Dial 6 is 21.01,Dial 6,0.5925245107222223,4.354271861792332e-07,439.58539622222224,0.005281072172102979
BTT,Temperature at Dial 7 is 21.00,Dial 7,0.6900192008444445,6.50881552416487e-07,480.75918744444436,0.004740912135364452
BTT,Temperature at Dial 8 is 21.00,Dial 8,0.7833630474333333,3.4284146482053933e-07,518.9014540111111,0.008968958139951749
BTT,Temperature at Dial 9 is 21.01,Dial 9,0.8786078762333333,1.252269688400711e-06,556.9426372888889,0.004740250951016015
BTT,Temperature at Dial 10 is 21.01,Dial 10,0.9854508124222223,1.0153745611604835e-06,597.6211940666667,0.010867721629540717
