DUT, Measurement Condition,Dial,L,L_Std,R,R_Std
RBC,Temperature at Dial 0 is 20.99,Dial 0,8.198735162777777e-07,6.389152613654129e-10,0.04057556668666667,2.180316943682304e-05
RBC,Temperature at Dial 1 is 20.93,Dial 1,0.010152335521111111,7.0144127421028745e-09,19.52550738444445,0.0001163594773868759
RBC,Temperature at Dial 2 is 20.90,Dial 2,0.019994050696666668,2.130283314446321e-08,28.064202552222223,0.00030682263817154073
RBC,Temperature at Dial 3 is 20.90,Dial 3,0.02927213399333333,4.530703918831723e-08,34.542346888888886,0.0004874121823075091
RBC,Temperature at Dial 4 is 20.90,Dial 4,0.039356492990000005,4.3010718430970076e-08,40.63121447555556,0.0002647013141790619
RBC,Temperature at Dial 5 is 20.90,Dial 5,0.049063178310000004,5.849728498090096e-08,46.011375282222225,0.0009681148763926712
RBC,Temperature at Dial 6 is 20.90,Dial 6,0.059110450565555556,3.671542595130134e-08,51.15015304,0.0006050976565408607
RBC,Temperature at Dial 7 is 20.91,Dial 7,0.06895856078333333,7.983243576587141e-08,55.867348459999995,0.0008297979214405019
RBC,Temperature at Dial 8 is 20.92,Dial 8,0.07889712014777778,1.0405440990052701e-07,60.43968892333333,0.0015086093182960108
RBC,Temperature at Dial 9 is YES,Dial 9,0.08900686293777778,1.2165422113379557e-07,64.98510231777777,0.001231331774055176
RBC,Temperature at Dial 10 is YES,Dial 10,0.101127362,9.810578474412635e-08,70.03639051555555,0.0007355263296789578
