DUT, Measurement Condition,Dial,L,L_Std,R,R_Std
RBT,Temperature at Dial 0 is 20.96,Dial 0,2.6238306645555555e-07,9.064485346425551e-11,0.012018328712222222,4.9363334475066304e-05
RBT,Temperature at Dial 1 is 20.96,Dial 1,0.010151867336666667,1.0403515031174304e-08,19.490501856666665,5.4414557794582765e-05
RBT,Temperature at Dial 2 is 20.96,Dial 2,0.019992991340000002,2.1431073234788926e-08,28.027007525555558,0.00023519850186141833
RBT,Temperature at Dial 3 is 20.96,Dial 3,0.029269760555555555,4.4550287627639384e-08,34.50050323666667,0.0005506395574023479
RBT,Temperature at Dial 4 is 20.96,Dial 4,0.039352380316666664,2.7452896477080277e-08,40.59007928888889,0.0002853530049105186
RBT,Temperature at Dial 5 is 20.97,Dial 5,0.0490563265,5.1971527782891234e-08,45.963716474444446,0.0007618043581065099
RBT,Temperature at Dial 6 is 20.97,Dial 6,0.05910041481333333,6.628642809834718e-08,51.09278568111111,0.0006490302786936618
RBT,Temperature at Dial 7 is 20.97,Dial 7,0.06894495818888889,7.453728084782144e-08,55.801977338888896,0.0008567613233482778
RBT,Temperature at Dial 8 is 20.97,Dial 8,0.07887917708555554,1.1180114054892838e-07,60.37824248333334,0.0009177904851193656
RBT,Temperature at Dial 9 is 20.97,Dial 9,0.08898371680555556,8.589839246205061e-08,64.90420539555556,0.0007399082415255383
RBT,Temperature at Dial 10 is 20.97,Dial 10,0.10109706851111112,6.94630557278852e-08,69.95753278666668,0.0005243509171118628
