DUT, Measurement Condition,Dial,L,L_Std,R,R_Std
RTC,Temperature at Dial 0 is 20.85,Dial 0,8.752411078111112e-07,1.368707189988051e-10,0.03885013273111111,1.901564322057658e-05
RTC,Temperature at Dial 1 is 20.91,Dial 1,0.01015282712777778,1.1780848630035955e-08,19.53182436111111,0.00010084423836291977
RTC,Temperature at Dial 2 is 20.94,Dial 2,0.019995016145555555,2.236694945164742e-08,28.072935527777776,0.00016089677986076567
RTC,Temperature at Dial 3 is 20.99,Dial 3,0.029273513706666667,4.903769086130506e-08,34.55228095555555,0.0005581849087257136
RTC,Temperature at Dial 4 is 21.01,Dial 4,0.03935837852666667,3.3213869468194414e-08,40.64634449555555,0.0003325348950148378
RTC,Temperature at Dial 5 is 21.01,Dial 5,0.049065267044444444,5.96608190347495e-08,46.02464644222222,0.0009360214996845108
RTC,Temperature at Dial 6 is 21.02,Dial 6,0.05911300508666668,9.666605828754013e-08,51.160846378888884,0.0009044584378155353
RTC,Temperature at Dial 7 is 21.03,Dial 7,0.0689616302,8.00565962294096e-08,55.880317328888886,0.0007239726415495222
RTC,Temperature at Dial 8 is 21.03,Dial 8,0.0789006014088889,1.3976091168991066e-07,60.451896544444445,0.001346793235208195
RTC,Temperature at Dial 9 is 21.03,Dial 9,0.08901059496888888,1.532575324791349e-07,64.9915994288889,0.0007193921446018419
RTC,Temperature at Dial 10 is YES,Dial 10,0.10113176696666668,8.751452736714078e-08,70.04809344222222,0.0009803590915144383
