DUT, Measurement Condition,Dial,L,L_Std,R,R_Std
RTT,Temperature at Dial 0 is 21.03,Dial 0,2.203626927888889e-07,1.4715721189036942e-10,0.011508481899999999,4.846386790642766e-05
RTT,Temperature at Dial 1 is 21.03,Dial 1,0.009468166564888891,3.861622546386152e-06,18.359405917777778,0.008899532270025242
RTT,Temperature at Dial 2 is 21.04,Dial 2,0.018759058995555557,1.4521387915335645e-06,25.74271414777778,0.013209614016099479
RTT,Temperature at Dial 3 is 21.05,Dial 3,0.027597795683333332,3.1666536746975583e-06,31.00773328444444,0.02369551922480238
RTT,Temperature at Dial 4 is 21.06,Dial 4,0.037269294532222226,1.7956654233657004e-06,35.73413459444444,0.03811951338001822
RTT,Temperature at Dial 5 is 21.06,Dial 5,0.046386692666666667,6.740358471178406e-06,38.94230768333333,0.06028459165653353
RTT,Temperature at Dial 6 is 21.06,Dial 6,0.056554115942222226,6.715374696319188e-06,43.779037045555555,0.07837403456466145
RTT,Temperature at Dial 7 is 21.06,Dial 7,0.06717305958000001,4.926712752792577e-06,50.268804313333334,0.05630966244351509
RTT,Temperature at Dial 8 is 21.06,Dial 8,0.07643019257000001,9.534916730788978e-06,51.978556998888884,0.060652113278129596
RTT,Temperature at Dial 9 is 21.06,Dial 9,0.08599228077888887,9.461731322189742e-06,53.83882928222223,0.08833404416755332
RTT,Temperature at Dial 10 is 21.06,Dial 10,0.0975353893888889,6.53823270211313e-05,56.026040428888884,0.16976397372759533
