DUT, Measurement Condition,Dial,L,L_Std,R,R_Std
RTT1,Temperature at Dial 0 is 21.03,Dial 0,2.524268581111111e-07,1.0434962829615767e-10,0.006856913684666666,7.344193130141014e-06
RTT1,Temperature at Dial 1 is 21.03,Dial 1,0.010152004943333333,5.494383496086037e-09,19.50906805888889,8.092855822373974e-05
RTT1,Temperature at Dial 2 is 21.03,Dial 2,0.01999334901,3.036292023212283e-08,28.05274939555555,0.00020322268211977793
RTT1,Temperature at Dial 3 is 21.03,Dial 3,0.029270321236666667,3.9065585878066915e-08,34.53086303222222,0.000462484643657725
RTT1,Temperature at Dial 4 is 21.03,Dial 4,0.03935311320333333,2.327617290368752e-08,40.622267283333336,0.0004070423362499653
RTT1,Temperature at Dial 5 is 21.03,Dial 5,0.04905737933777778,5.5617133774940895e-08,46.000099015555556,0.0008050112147683173
RTT1,Temperature at Dial 6 is 21.03,Dial 6,0.059101738398888895,7.355203182745292e-08,51.132715955555554,0.0006675892196586925
RTT1,Temperature at Dial 7 is 21.02,Dial 7,0.06894640412777778,7.722169509962624e-08,55.856871658888885,0.0013153458887448825
RTT1,Temperature at Dial 8 is 21.02,Dial 8,0.07888074079111111,1.21110925543751e-07,60.41502417666666,0.0015951735462797147
RTT1,Temperature at Dial 9 is 21.01,Dial 9,0.08898559896444444,7.388303359143906e-08,64.94745027333335,0.001220212003804225
RTT1,Temperature at Dial 10 is 21.01,Dial 10,0.10109952133333334,8.742855654655942e-08,70.00208224111111,0.0005422269120585403
