lcr name:,KeySight E4980A
Name and description of Resistor under test: ,Zero at 16-09-22
GPIB source:,<bound method MessageBasedResource.read of <'GPIBInstrument'('GPIB0::17::INSTR')>>
2022-09-16,09:12:51
select the freq range,"[50, 100, 200, 300, 500, 800, 1000, 1591.5494309189535, 2000, 3000, 5000]"
50.0,1.141064107e-07,0.002172655486
50.0,1.087921976e-07,0.002167187309
50.0,1.228127392e-07,0.002170309434
50.0,1.216569734e-07,0.002170721218
50.0,1.153131886e-07,0.002167512478
50.0,1.058750824e-07,0.002170957162
50.0,1.186645545e-07,0.00217181183
50.0,1.238585474e-07,0.002168137395
50.0,1.2509104e-07,0.002165996074
50.0,1.204316134e-07,0.002165167071
50.0,1.202211762e-07,0.002164961803
50.0,1.237650823e-07,0.00216524774
50.0,1.214519869e-07,0.002166661831
50.0,1.155310917e-07,0.002168199323
50.0,1.065633846e-07,0.002166945176
50.0,1.0112386e-07,0.002165287295
Freq,50,Rs,0.0021679849140624997,2.5527622737323466e-06,Ls,1.1657868305625e-07,7.398790365947869e-09
":SOUR:DCS:STAT OFF;:BIAS:STAT OFF;:COMP:BIN:COUN:CLE;:LIST:CLE:ALL;:COMP:BIN:CLE;:AMPL:ALC ON;:APER LONG,16;:BIAS:POL:AUTO OFF;:BIAS:RANG:AUTO ON;:BIAS:VOLT:LEV 0;:COMP:ABIN OFF;:COMP:BIN:COUN:STAT OFF;:COMP:MODE PTOL;:COMP:SLIM -9.9e+037,9.9e+037;:COMP:STAT OFF;:COMP:SWAP OFF;:COMP:TOL:NOM 0;:CURR:LEV 0.1;:DISP:ENAB ON;:DISP:LINE """";:DISP:WIND:TEXT1:DATA:FMSD:DATA 1e-009;:DISP:WIND:TEXT2:DATA:FMSD:DATA 1e-009;:FORM:ASC:LONG ON;:FORM:BORD NORM;:FORM:DATA ASC,64;:FREQ:CW 50;:FUNC:DEV1:MODE OFF;:FUNC:DEV1:REF:VAL 0;:FUNC:DEV2:MODE OFF;:FUNC:DEV2:REF:VAL 0;:FUNC:IMP:TYPE LSRS;:FUNC:SMON:IDC:STAT OFF;:FUNC:SMON:VDC:STAT OFF;:INIT:CONT OFF;:LIST:MODE SEQ;:LIST:STIM:TYPE FREQ,NONE;:SOUR:DCS:VOLT:LEV 0;:TRIG:DEL 0;:TRIG:SOUR INT;:TRIG:TDEL 0;:DISP:WIND:TEXT1:DATA:FMSD:STAT OFF;:DISP:WIND:TEXT2:DATA:FMSD:STAT OFF;:FUNC:DCR:RANG:VAL 100;:FUNC:IMP:RANG:VAL 0.1;:OUTP:DC:ISOL:LEV:VAL 0.1;:OUTP:DC:ISOL:STAT OFF;:FUNC:DCR:RANG:AUTO ON;:FUNC:IMP:RANG:AUTO ON;:OUTP:DC:ISOL:LEV:AUTO ON;:DISP:PAGE MEASurement;
"
100.0,5.984800213e-08,0.002144570893
100.0,5.931506739e-08,0.002144733931
100.0,5.951833967e-08,0.00214396169
100.0,5.953870753e-08,0.002144062173
100.0,5.978264691e-08,0.002143549154
100.0,5.999923881e-08,0.002143700358
100.0,6.022233504e-08,0.002143096704
100.0,5.926751127e-08,0.002142787075
100.0,6.016881184e-08,0.002142585082
100.0,5.972859962e-08,0.00214215881
100.0,5.938728409e-08,0.002142122578
100.0,5.96176321e-08,0.002141543308
100.0,5.960275556e-08,0.002141520067
100.0,6.057806628e-08,0.002141447938
100.0,5.964776545e-08,0.002141082641
100.0,5.980850037e-08,0.002140337156
Freq,100,Rs,0.002142703722375,1.3192733930835182e-06,Ls,5.975195400375001e-08,3.5235366705769896e-10
":SOUR:DCS:STAT OFF;:BIAS:STAT OFF;:COMP:BIN:COUN:CLE;:LIST:CLE:ALL;:COMP:BIN:CLE;:AMPL:ALC ON;:APER LONG,16;:BIAS:POL:AUTO OFF;:BIAS:RANG:AUTO ON;:BIAS:VOLT:LEV 0;:COMP:ABIN OFF;:COMP:BIN:COUN:STAT OFF;:COMP:MODE PTOL;:COMP:SLIM -9.9e+037,9.9e+037;:COMP:STAT OFF;:COMP:SWAP OFF;:COMP:TOL:NOM 0;:CURR:LEV 0.1;:DISP:ENAB ON;:DISP:LINE """";:DISP:WIND:TEXT1:DATA:FMSD:DATA 1e-009;:DISP:WIND:TEXT2:DATA:FMSD:DATA 1e-009;:FORM:ASC:LONG ON;:FORM:BORD NORM;:FORM:DATA ASC,64;:FREQ:CW 100;:FUNC:DEV1:MODE OFF;:FUNC:DEV1:REF:VAL 0;:FUNC:DEV2:MODE OFF;:FUNC:DEV2:REF:VAL 0;:FUNC:IMP:TYPE LSRS;:FUNC:SMON:IDC:STAT OFF;:FUNC:SMON:VDC:STAT OFF;:INIT:CONT OFF;:LIST:MODE SEQ;:LIST:STIM:TYPE FREQ,NONE;:SOUR:DCS:VOLT:LEV 0;:TRIG:DEL 0;:TRIG:SOUR INT;:TRIG:TDEL 0;:DISP:WIND:TEXT1:DATA:FMSD:STAT OFF;:DISP:WIND:TEXT2:DATA:FMSD:STAT OFF;:FUNC:DCR:RANG:VAL 100;:FUNC:IMP:RANG:VAL 0.1;:OUTP:DC:ISOL:LEV:VAL 0.1;:OUTP:DC:ISOL:STAT OFF;:FUNC:DCR:RANG:AUTO ON;:FUNC:IMP:RANG:AUTO ON;:OUTP:DC:ISOL:LEV:AUTO ON;:DISP:PAGE MEASurement;
"
200.0,5.61234588e-08,0.00216145691
200.0,5.618965004e-08,0.002161380413
200.0,5.621385385e-08,0.002160862732
200.0,5.606952836e-08,0.002161031043
200.0,5.627763508e-08,0.002161036446
200.0,5.616875541e-08,0.002160317209
200.0,5.638520998e-08,0.002160268615
200.0,5.616156821e-08,0.002160108961
200.0,5.651911213e-08,0.002160442574
200.0,5.638423714e-08,0.002159991353
200.0,5.641844133e-08,0.002159569632
200.0,5.621655333e-08,0.002159366701
200.0,5.629973736e-08,0.002159464755
200.0,5.6435228e-08,0.002159067801
200.0,5.615609499e-08,0.002159081108
200.0,5.613656582e-08,0.002158668667
Freq,200,Rs,0.0021601321825,8.706058787179625e-07,Ls,5.6259726864374995e-08,1.3263600608769691e-10
":SOUR:DCS:STAT OFF;:BIAS:STAT OFF;:COMP:BIN:COUN:CLE;:LIST:CLE:ALL;:COMP:BIN:CLE;:AMPL:ALC ON;:APER LONG,16;:BIAS:POL:AUTO OFF;:BIAS:RANG:AUTO ON;:BIAS:VOLT:LEV 0;:COMP:ABIN OFF;:COMP:BIN:COUN:STAT OFF;:COMP:MODE PTOL;:COMP:SLIM -9.9e+037,9.9e+037;:COMP:STAT OFF;:COMP:SWAP OFF;:COMP:TOL:NOM 0;:CURR:LEV 0.1;:DISP:ENAB ON;:DISP:LINE """";:DISP:WIND:TEXT1:DATA:FMSD:DATA 1e-009;:DISP:WIND:TEXT2:DATA:FMSD:DATA 1e-009;:FORM:ASC:LONG ON;:FORM:BORD NORM;:FORM:DATA ASC,64;:FREQ:CW 200;:FUNC:DEV1:MODE OFF;:FUNC:DEV1:REF:VAL 0;:FUNC:DEV2:MODE OFF;:FUNC:DEV2:REF:VAL 0;:FUNC:IMP:TYPE LSRS;:FUNC:SMON:IDC:STAT OFF;:FUNC:SMON:VDC:STAT OFF;:INIT:CONT OFF;:LIST:MODE SEQ;:LIST:STIM:TYPE FREQ,NONE;:SOUR:DCS:VOLT:LEV 0;:TRIG:DEL 0;:TRIG:SOUR INT;:TRIG:TDEL 0;:DISP:WIND:TEXT1:DATA:FMSD:STAT OFF;:DISP:WIND:TEXT2:DATA:FMSD:STAT OFF;:FUNC:DCR:RANG:VAL 100;:FUNC:IMP:RANG:VAL 0.1;:OUTP:DC:ISOL:LEV:VAL 0.1;:OUTP:DC:ISOL:STAT OFF;:FUNC:DCR:RANG:AUTO ON;:FUNC:IMP:RANG:AUTO ON;:OUTP:DC:ISOL:LEV:AUTO ON;:DISP:PAGE MEASurement;
"
300.0,4.269232735e-08,0.002166149007
300.0,4.27940721e-08,0.00216578728
300.0,4.275130291e-08,0.002165569951
300.0,4.280188628e-08,0.002165687357
300.0,4.282174004e-08,0.002165384926
300.0,4.290367297e-08,0.002165364219
300.0,4.284585134e-08,0.002165149209
300.0,4.280557808e-08,0.002164979009
300.0,4.280415615e-08,0.00216465614
300.0,4.274378936e-08,0.002164666961
300.0,4.284208414e-08,0.002164702869
300.0,4.289082701e-08,0.002164558906
300.0,4.283286335e-08,0.002164243133
300.0,4.295020178e-08,0.002164128032
300.0,4.287276461e-08,0.002164084318
300.0,4.271330804e-08,0.002163821439
Freq,300,Rs,0.0021649332972499997,6.851924714245227e-07,Ls,4.2816651594375e-08,6.955552130788253e-11
