lcr name:,KeySight E4980A
Name and description of Resistor under test: ,BPO zero
GPIB source:,<bound method MessageBasedResource.read of <'GPIBInstrument'('GPIB0::17::INSTR')>>
2022-09-19,08:06:11
select the freq range,"[50, 100, 200, 300, 500, 800, 1000, 1591.5494309189535, 2000, 3000, 5000]"
50.0,1.034893329e-07,0.001678257636
50.0,1.028900755e-07,0.001677787633
50.0,1.017545169e-07,0.001677190007
50.0,9.690712846e-08,0.001675246549
50.0,9.471046274e-08,0.001672973543
50.0,1.011358533e-07,0.0016707401
50.0,1.132151143e-07,0.001672340293
50.0,9.948094775e-08,0.001673844535
50.0,1.121334681e-07,0.001673120983
50.0,9.821215201e-08,0.001670775715
50.0,1.137844701e-07,0.001672518059
50.0,1.023333285e-07,0.001674487795
50.0,9.802670632e-08,0.001672786353
50.0,1.023120834e-07,0.001674541373
50.0,1.141408992e-07,0.001673116552
50.0,1.098274727e-07,0.001669018595
Freq,50,Rs,0.0016736716075625001,2.554750189391395e-06,Ls,1.0402212576125001e-07,6.481602766595518e-09
":SOUR:DCS:STAT OFF;:BIAS:STAT OFF;:COMP:BIN:COUN:CLE;:LIST:CLE:ALL;:COMP:BIN:CLE;:AMPL:ALC ON;:APER LONG,16;:BIAS:POL:AUTO OFF;:BIAS:RANG:AUTO ON;:BIAS:VOLT:LEV 0;:COMP:ABIN OFF;:COMP:BIN:COUN:STAT OFF;:COMP:MODE PTOL;:COMP:SLIM -9.9e+037,9.9e+037;:COMP:STAT OFF;:COMP:SWAP OFF;:COMP:TOL:NOM 0;:CURR:LEV 0.1;:DISP:ENAB ON;:DISP:LINE """";:DISP:WIND:TEXT1:DATA:FMSD:DATA 1e-009;:DISP:WIND:TEXT2:DATA:FMSD:DATA 1e-009;:FORM:ASC:LONG ON;:FORM:BORD NORM;:FORM:DATA ASC,64;:FREQ:CW 50;:FUNC:DEV1:MODE OFF;:FUNC:DEV1:REF:VAL 0;:FUNC:DEV2:MODE OFF;:FUNC:DEV2:REF:VAL 0;:FUNC:IMP:TYPE LSRS;:FUNC:SMON:IDC:STAT OFF;:FUNC:SMON:VDC:STAT OFF;:INIT:CONT OFF;:LIST:MODE SEQ;:LIST:STIM:TYPE FREQ,NONE;:SOUR:DCS:VOLT:LEV 0;:TRIG:DEL 0;:TRIG:SOUR INT;:TRIG:TDEL 0;:DISP:WIND:TEXT1:DATA:FMSD:STAT OFF;:DISP:WIND:TEXT2:DATA:FMSD:STAT OFF;:FUNC:DCR:RANG:VAL 100;:FUNC:IMP:RANG:VAL 0.1;:OUTP:DC:ISOL:LEV:VAL 0.1;:OUTP:DC:ISOL:STAT OFF;:FUNC:DCR:RANG:AUTO ON;:FUNC:IMP:RANG:AUTO ON;:OUTP:DC:ISOL:LEV:AUTO ON;:DISP:PAGE MEASurement;
"
100.0,5.412016779e-08,0.001653004325
100.0,5.392125117e-08,0.001652964688
100.0,5.445022956e-08,0.001652624981
100.0,5.417540779e-08,0.001652277924
100.0,5.458051619e-08,0.001652271624
100.0,5.435012932e-08,0.001652156624
100.0,5.425824368e-08,0.001651564929
100.0,5.395232505e-08,0.001651953139
100.0,5.308328442e-08,0.001651440726
100.0,5.390178912e-08,0.001651493576
100.0,5.411214846e-08,0.001651326754
100.0,5.388847143e-08,0.001651104441
100.0,5.348824043e-08,0.001651321764
100.0,5.344246814e-08,0.001651138881
100.0,5.387974203e-08,0.00165069475
100.0,5.440388521e-08,0.001650821311
Freq,100,Rs,0.0016517600273124999,7.254695901373609e-07,Ls,5.4000518736875e-08,4.00667593892582e-10
":SOUR:DCS:STAT OFF;:BIAS:STAT OFF;:COMP:BIN:COUN:CLE;:LIST:CLE:ALL;:COMP:BIN:CLE;:AMPL:ALC ON;:APER LONG,16;:BIAS:POL:AUTO OFF;:BIAS:RANG:AUTO ON;:BIAS:VOLT:LEV 0;:COMP:ABIN OFF;:COMP:BIN:COUN:STAT OFF;:COMP:MODE PTOL;:COMP:SLIM -9.9e+037,9.9e+037;:COMP:STAT OFF;:COMP:SWAP OFF;:COMP:TOL:NOM 0;:CURR:LEV 0.1;:DISP:ENAB ON;:DISP:LINE """";:DISP:WIND:TEXT1:DATA:FMSD:DATA 1e-009;:DISP:WIND:TEXT2:DATA:FMSD:DATA 1e-009;:FORM:ASC:LONG ON;:FORM:BORD NORM;:FORM:DATA ASC,64;:FREQ:CW 100;:FUNC:DEV1:MODE OFF;:FUNC:DEV1:REF:VAL 0;:FUNC:DEV2:MODE OFF;:FUNC:DEV2:REF:VAL 0;:FUNC:IMP:TYPE LSRS;:FUNC:SMON:IDC:STAT OFF;:FUNC:SMON:VDC:STAT OFF;:INIT:CONT OFF;:LIST:MODE SEQ;:LIST:STIM:TYPE FREQ,NONE;:SOUR:DCS:VOLT:LEV 0;:TRIG:DEL 0;:TRIG:SOUR INT;:TRIG:TDEL 0;:DISP:WIND:TEXT1:DATA:FMSD:STAT OFF;:DISP:WIND:TEXT2:DATA:FMSD:STAT OFF;:FUNC:DCR:RANG:VAL 100;:FUNC:IMP:RANG:VAL 0.1;:OUTP:DC:ISOL:LEV:VAL 0.1;:OUTP:DC:ISOL:STAT OFF;:FUNC:DCR:RANG:AUTO ON;:FUNC:IMP:RANG:AUTO ON;:OUTP:DC:ISOL:LEV:AUTO ON;:DISP:PAGE MEASurement;
"
200.0,4.925924017e-08,0.001672645004
200.0,4.949372921e-08,0.001672443271
200.0,4.931436982e-08,0.001672336846
200.0,4.934190809e-08,0.001672346226
200.0,4.937764783e-08,0.001671827104
200.0,4.938289956e-08,0.001671795966
200.0,4.953396109e-08,0.001671767645
200.0,4.931236031e-08,0.001671813167
200.0,4.961097779e-08,0.001671837269
200.0,4.932093913e-08,0.001671542454
200.0,4.941866702e-08,0.001671561903
200.0,4.954827438e-08,0.001671716482
200.0,4.920587557e-08,0.001671076469
200.0,4.956594918e-08,0.001671204647
200.0,4.914170571e-08,0.001671237644
200.0,4.925230434e-08,0.001671344417
Freq,200,Rs,0.001671781032125,4.6502596651714274e-07,Ls,4.9380050575e-08,1.381317545293795e-10
