lcr name:,KeySight E4980A
Name and description of Resistor under test: ,4T-F(BPO)+F(BPO)-M(BPO)+M(BNC)-F(BNC)+F(BNC)-M(BNC_zero)==BPO-BNC Zero
GPIB source:,<bound method MessageBasedResource.read of <'GPIBInstrument'('GPIB0::17::INSTR')>>
2022-09-23,12:50:17
select the freq range,"[50, 100, 200, 300, 500, 800, 1000, 1591.5494309189535, 2000, 3000, 5000]"
50.0,1.407711409e-07,0.04338525167
50.0,1.390597097e-07,0.04336936845
50.0,1.34685455e-07,0.0433536317
50.0,1.261733999e-07,0.04333935973
50.0,1.25062563e-07,0.04332786147
50.0,1.229446612e-07,0.04331570524
50.0,1.238917212e-07,0.04330002021
50.0,1.280499298e-07,0.04328148792
50.0,1.391982945e-07,0.04326574795
50.0,1.31820191e-07,0.04325357477
50.0,1.216564509e-07,0.04323581746
50.0,1.211156884e-07,0.04321678745
50.0,1.283274602e-07,0.04320024058
50.0,1.295522928e-07,0.04318632264
50.0,1.328808499e-07,0.04317327122
50.0,1.277940606e-07,0.04316030565
Freq,50,Rs,0.043272797131875,7.250400665257615e-05,Ls,1.2956149181249998e-07,6.322005444492787e-09
":SOUR:DCS:STAT OFF;:BIAS:STAT OFF;:COMP:BIN:COUN:CLE;:LIST:CLE:ALL;:COMP:BIN:CLE;:AMPL:ALC ON;:APER LONG,16;:BIAS:POL:AUTO OFF;:BIAS:RANG:AUTO ON;:BIAS:VOLT:LEV 0;:COMP:ABIN OFF;:COMP:BIN:COUN:STAT OFF;:COMP:MODE PTOL;:COMP:SLIM -9.9e+037,9.9e+037;:COMP:STAT OFF;:COMP:SWAP OFF;:COMP:TOL:NOM 0;:CURR:LEV 0.1;:DISP:ENAB ON;:DISP:LINE """";:DISP:WIND:TEXT1:DATA:FMSD:DATA 1e-009;:DISP:WIND:TEXT2:DATA:FMSD:DATA 1e-009;:FORM:ASC:LONG ON;:FORM:BORD NORM;:FORM:DATA ASC,64;:FREQ:CW 50;:FUNC:DEV1:MODE OFF;:FUNC:DEV1:REF:VAL 0;:FUNC:DEV2:MODE OFF;:FUNC:DEV2:REF:VAL 0;:FUNC:IMP:TYPE LSRS;:FUNC:SMON:IDC:STAT OFF;:FUNC:SMON:VDC:STAT OFF;:INIT:CONT OFF;:LIST:MODE SEQ;:LIST:STIM:TYPE FREQ,NONE;:SOUR:DCS:VOLT:LEV 0;:TRIG:DEL 0;:TRIG:SOUR INT;:TRIG:TDEL 0;:DISP:WIND:TEXT1:DATA:FMSD:STAT OFF;:DISP:WIND:TEXT2:DATA:FMSD:STAT OFF;:FUNC:DCR:RANG:VAL 100;:FUNC:IMP:RANG:VAL 0.1;:OUTP:DC:ISOL:LEV:VAL 0.1;:OUTP:DC:ISOL:STAT OFF;:FUNC:DCR:RANG:AUTO ON;:FUNC:IMP:RANG:AUTO ON;:OUTP:DC:ISOL:LEV:AUTO ON;:DISP:PAGE MEASurement;
"
100.0,9.642036124e-08,0.04311881537
100.0,9.632968131e-08,0.04310808117
100.0,9.603556416e-08,0.04309863927
100.0,9.565256993e-08,0.0430890086
100.0,9.681120149e-08,0.0430809608
100.0,9.718808418e-08,0.04307415331
100.0,9.637138846e-08,0.04306706335
100.0,9.645441163e-08,0.04306030221
100.0,9.715303883e-08,0.04305520605
100.0,9.623959761e-08,0.04305063932
100.0,9.583899237e-08,0.04304602006
100.0,9.694922106e-08,0.04304046072
100.0,9.666753969e-08,0.04303604746
100.0,9.677482885e-08,0.0430333586
100.0,9.653020452e-08,0.04302934643
100.0,9.661550311e-08,0.04302447383
Freq,100,Rs,0.043063286034375,2.9206721689815494e-05,Ls,9.65020117775e-08,4.3273574160811526e-10
":SOUR:DCS:STAT OFF;:BIAS:STAT OFF;:COMP:BIN:COUN:CLE;:LIST:CLE:ALL;:COMP:BIN:CLE;:AMPL:ALC ON;:APER LONG,16;:BIAS:POL:AUTO OFF;:BIAS:RANG:AUTO ON;:BIAS:VOLT:LEV 0;:COMP:ABIN OFF;:COMP:BIN:COUN:STAT OFF;:COMP:MODE PTOL;:COMP:SLIM -9.9e+037,9.9e+037;:COMP:STAT OFF;:COMP:SWAP OFF;:COMP:TOL:NOM 0;:CURR:LEV 0.1;:DISP:ENAB ON;:DISP:LINE """";:DISP:WIND:TEXT1:DATA:FMSD:DATA 1e-009;:DISP:WIND:TEXT2:DATA:FMSD:DATA 1e-009;:FORM:ASC:LONG ON;:FORM:BORD NORM;:FORM:DATA ASC,64;:FREQ:CW 100;:FUNC:DEV1:MODE OFF;:FUNC:DEV1:REF:VAL 0;:FUNC:DEV2:MODE OFF;:FUNC:DEV2:REF:VAL 0;:FUNC:IMP:TYPE LSRS;:FUNC:SMON:IDC:STAT OFF;:FUNC:SMON:VDC:STAT OFF;:INIT:CONT OFF;:LIST:MODE SEQ;:LIST:STIM:TYPE FREQ,NONE;:SOUR:DCS:VOLT:LEV 0;:TRIG:DEL 0;:TRIG:SOUR INT;:TRIG:TDEL 0;:DISP:WIND:TEXT1:DATA:FMSD:STAT OFF;:DISP:WIND:TEXT2:DATA:FMSD:STAT OFF;:FUNC:DCR:RANG:VAL 100;:FUNC:IMP:RANG:VAL 0.1;:OUTP:DC:ISOL:LEV:VAL 0.1;:OUTP:DC:ISOL:STAT OFF;:FUNC:DCR:RANG:AUTO ON;:FUNC:IMP:RANG:AUTO ON;:OUTP:DC:ISOL:LEV:AUTO ON;:DISP:PAGE MEASurement;
"
200.0,9.570940838e-08,0.04303762118
200.0,9.584065801e-08,0.04303442532
200.0,9.560880107e-08,0.04303242504
200.0,9.588514952e-08,0.04302925942
200.0,9.565095088e-08,0.04302613394
200.0,9.577547694e-08,0.04302416558
200.0,9.578279324e-08,0.0430224796
200.0,9.58662666e-08,0.04301858595
200.0,9.566526778e-08,0.04301515869
200.0,9.570463401e-08,0.04301086271
200.0,9.586376924e-08,0.04300695212
200.0,9.567777048e-08,0.04300259048
200.0,9.589638431e-08,0.04299641947
200.0,9.583326105e-08,0.04298819837
200.0,9.579155805e-08,0.04297977356
200.0,9.581100097e-08,0.04297265679
Freq,200,Rs,0.043012356763749995,1.9823105319774775e-05,Ls,9.5772696908125e-08,9.168312693985226e-11
":SOUR:DCS:STAT OFF;:BIAS:STAT OFF;:COMP:BIN:COUN:CLE;:LIST:CLE:ALL;:COMP:BIN:CLE;:AMPL:ALC ON;:APER LONG,16;:BIAS:POL:AUTO OFF;:BIAS:RANG:AUTO ON;:BIAS:VOLT:LEV 0;:COMP:ABIN OFF;:COMP:BIN:COUN:STAT OFF;:COMP:MODE PTOL;:COMP:SLIM -9.9e+037,9.9e+037;:COMP:STAT OFF;:COMP:SWAP OFF;:COMP:TOL:NOM 0;:CURR:LEV 0.1;:DISP:ENAB ON;:DISP:LINE """";:DISP:WIND:TEXT1:DATA:FMSD:DATA 1e-009;:DISP:WIND:TEXT2:DATA:FMSD:DATA 1e-009;:FORM:ASC:LONG ON;:FORM:BORD NORM;:FORM:DATA ASC,64;:FREQ:CW 200;:FUNC:DEV1:MODE OFF;:FUNC:DEV1:REF:VAL 0;:FUNC:DEV2:MODE OFF;:FUNC:DEV2:REF:VAL 0;:FUNC:IMP:TYPE LSRS;:FUNC:SMON:IDC:STAT OFF;:FUNC:SMON:VDC:STAT OFF;:INIT:CONT OFF;:LIST:MODE SEQ;:LIST:STIM:TYPE FREQ,NONE;:SOUR:DCS:VOLT:LEV 0;:TRIG:DEL 0;:TRIG:SOUR INT;:TRIG:TDEL 0;:DISP:WIND:TEXT1:DATA:FMSD:STAT OFF;:DISP:WIND:TEXT2:DATA:FMSD:STAT OFF;:FUNC:DCR:RANG:VAL 100;:FUNC:IMP:RANG:VAL 0.1;:OUTP:DC:ISOL:LEV:VAL 0.1;:OUTP:DC:ISOL:STAT OFF;:FUNC:DCR:RANG:AUTO ON;:FUNC:IMP:RANG:AUTO ON;:OUTP:DC:ISOL:LEV:AUTO ON;:DISP:PAGE MEASurement;
"
300.0,8.43085753e-08,0.04296709262
300.0,8.434046728e-08,0.04296101576
300.0,8.433577802e-08,0.04295455706
300.0,8.433286503e-08,0.04294650934
300.0,8.431847564e-08,0.04293712448
300.0,8.421170465e-08,0.04292824369
300.0,8.437140717e-08,0.04292114196
300.0,8.43433454e-08,0.04291336011
