lcr name:,KeySight E4980A
Name and description of Resistor under test: ,Cap01
GPIB source:,<bound method MessageBasedResource.read of <'GPIBInstrument'('GPIB0::17::INSTR')>>
2022-12-07,12:15:12
select the freq range,"[50, 100, 200, 300, 500, 800, 1000, 1591.5494309189535, 2000, 3000, 5000]"
50.0,1.000084423e-06,9.597737954e-08
50.0,1.000222139e-06,8.662932812e-08
50.0,1.000246304e-06,2.151352729e-08
50.0,1.000032902e-06,1.742697365e-08
50.0,1.00001791e-06,7.911887294e-08
50.0,1.000117594e-06,9.80466953e-08
50.0,1.000168715e-06,9.759098588e-08
50.0,1.000186611e-06,9.603624067e-08
50.0,1.000150055e-06,9.816951256e-08
50.0,1.000127788e-06,9.835320196e-08
50.0,1.000179277e-06,9.608257441e-08
50.0,1.000261949e-06,7.782848776e-08
50.0,1.000292532e-06,4.710002398e-08
50.0,1.000270271e-06,2.378974021e-08
50.0,1.000205003e-06,5.875553158e-09
50.0,1.000065026e-06,6.184004615e-09
Freq,50,Rs,6.53576938776875e-08,3.7606344765101684e-08,Ls,1.0001642811875e-06,8.49806131375143e-11
