lcr name:,KeySight E4980A
Name and description of Resistor under test: ,Zero
GPIB source:,<bound method MessageBasedResource.read of <'GPIBInstrument'('GPIB0::17::INSTR')>>
2023-03-01,08:37:38
select the freq range,"[47, 53, 197, 203, 497, 503, 997, 1003, 1997, 2003]"
47.0,-3.0597017e-07,0.0001923114321
47.0,-1.851475496e-07,0.0001035761753
47.0,-3.080103823e-07,0.0001624292133
47.0,-4.868290033e-07,0.0001233836471
47.0,-7.164418739e-07,0.0001848743375
47.0,-1.453339823e-07,0.0001644806879
47.0,-1.125643238e-07,0.0001535767883
47.0,-4.200759488e-07,0.0001560144856
47.0,-4.155778638e-07,0.0002358723966
47.0,-1.295178696e-07,0.0001099962978
47.0,-3.942559104e-07,0.0001073413247
47.0,-3.022898523e-08,0.0001762732326
47.0,-1.642943212e-07,0.0001163026217
47.0,-1.311111036e-07,0.0001888747709
47.0,-1.964800374e-07,0.0001111775951
47.0,-2.125588507e-07,0.0001634221428
Freq,47,Rs,0.00015311919683124998,3.8250102842867734e-05,Ls,-2.72149885995625e-07,1.774009566353036e-07
":SOUR:DCS:STAT OFF;:BIAS:STAT OFF;:COMP:BIN:COUN:CLE;:LIST:CLE:ALL;:COMP:BIN:CLE;:AMPL:ALC ON;:APER LONG,10;:BIAS:POL:AUTO OFF;:BIAS:RANG:AUTO ON;:BIAS:VOLT:LEV 0;:COMP:ABIN OFF;:COMP:BIN:COUN:STAT OFF;:COMP:MODE PTOL;:COMP:SLIM -9.9e+037,9.9e+037;:COMP:STAT OFF;:COMP:SWAP OFF;:COMP:TOL:NOM 0;:DISP:ENAB ON;:DISP:LINE """";:DISP:WIND:TEXT1:DATA:FMSD:DATA 1e-009;:DISP:WIND:TEXT2:DATA:FMSD:DATA 1e-009;:FORM:ASC:LONG ON;:FORM:BORD NORM;:FORM:DATA ASC,64;:FREQ:CW 47;:FUNC:DEV1:MODE OFF;:FUNC:DEV1:REF:VAL 0;:FUNC:DEV2:MODE OFF;:FUNC:DEV2:REF:VAL 0;:FUNC:IMP:TYPE LSRS;:FUNC:SMON:IDC:STAT OFF;:FUNC:SMON:VDC:STAT OFF;:INIT:CONT OFF;:LIST:MODE SEQ;:LIST:STIM:TYPE FREQ,NONE;:SOUR:DCS:VOLT:LEV 0;:TRIG:DEL 0;:TRIG:SOUR INT;:TRIG:TDEL 0;:VOLT:LEV 0.1;:DISP:WIND:TEXT1:DATA:FMSD:STAT OFF;:DISP:WIND:TEXT2:DATA:FMSD:STAT OFF;:FUNC:DCR:RANG:VAL 10;:FUNC:IMP:RANG:VAL 1;:OUTP:DC:ISOL:LEV:VAL 0.1;:OUTP:DC:ISOL:STAT ON;:FUNC:DCR:RANG:AUTO OFF;:FUNC:IMP:RANG:AUTO OFF;:OUTP:DC:ISOL:LEV:AUTO OFF;:DISP:PAGE MEASurement;
"
53.0,-2.793073476e-07,9.030233336e-05
53.0,-4.034964479e-08,0.0001208537535
53.0,-1.812707079e-07,0.0001291545519
53.0,-3.709435287e-07,0.0001821093061
53.0,-1.140925029e-07,0.0001059182325
53.0,-2.557126806e-07,0.000112824384
53.0,-2.806651037e-07,0.0001377347881
