lcr name:,KeySight E4980A
Name and description of Resistor under test: ,none
GPIB source:,<bound method MessageBasedResource.read of <'GPIBInstrument'('GPIB0::17::INSTR')>>
2024-04-16,16:01:25
select the freq range,"[50, 100, 200, 300, 500, 800, 1000, 1591.5494309189535, 2000, 3000, 5000]"
50.0,3.187753782e-09,9983.275034
50.0,3.068069174e-09,10372.70476
50.0,3.01083307e-09,10569.79867
50.0,3.336866868e-09,9537.129977
50.0,2.974895368e-09,10697.53519
50.0,3.160768009e-09,10068.41764
50.0,2.941437819e-09,10819.12418
50.0,3.067259967e-09,10375.31824
50.0,3.175146626e-09,10022.93796
50.0,3.111572355e-09,10227.6516
50.0,3.307953176e-09,9620.483048
50.0,3.524798842e-09,9028.604618
50.0,3.192343859e-09,9968.776735
50.0,3.358253911e-09,9476.395718
50.0,3.01935734e-09,10540.02081
50.0,3.259200363e-09,9764.462407
Freq,50,Rs,10067.039786687501,494.7385309983744,Ls,3.1685319080625003e-09,1.5910976797556653e-10
":SOUR:DCS:STAT OFF;:BIAS:STAT OFF;:COMP:BIN:COUN:CLE;:LIST:CLE:ALL;:COMP:BIN:CLE;:AMPL:ALC OFF;:APER MED,1;:BIAS:POL:AUTO OFF;:BIAS:RANG:AUTO ON;:BIAS:VOLT:LEV 0;:COMP:ABIN OFF;:COMP:BIN:COUN:STAT OFF;:COMP:MODE PTOL;:COMP:SLIM -9.9e+037,9.9e+037;:COMP:STAT OFF;:COMP:SWAP OFF;:COMP:TOL:NOM 0;:DISP:ENAB ON;:DISP:LINE """";:DISP:WIND:TEXT1:DATA:FMSD:DATA 1e-009;:DISP:WIND:TEXT2:DATA:FMSD:DATA 1e-009;:FORM:ASC:LONG ON;:FORM:BORD NORM;:FORM:DATA ASC,64;:FREQ:CW 50;:FUNC:DEV1:MODE OFF;:FUNC:DEV1:REF:VAL 0;:FUNC:DEV2:MODE OFF;:FUNC:DEV2:REF:VAL 0;:FUNC:IMP:TYPE CPD;:FUNC:SMON:IDC:STAT OFF;:FUNC:SMON:VDC:STAT OFF;:INIT:CONT OFF;:LIST:MODE SEQ;:LIST:STIM:TYPE FREQ,NONE;:SOUR:DCS:VOLT:LEV 0;:TRIG:DEL 0;:TRIG:SOUR INT;:TRIG:TDEL 0;:VOLT:LEV 1;:DISP:WIND:TEXT1:DATA:FMSD:STAT OFF;:DISP:WIND:TEXT2:DATA:FMSD:STAT OFF;:FUNC:DCR:RANG:VAL 100;:FUNC:IMP:RANG:VAL 100;:OUTP:DC:ISOL:LEV:VAL 0.02;:OUTP:DC:ISOL:STAT OFF;:FUNC:DCR:RANG:AUTO ON;:FUNC:IMP:RANG:AUTO ON;:OUTP:DC:ISOL:LEV:AUTO ON;:DISP:PAGE MEASurement;
"
100.0,8.273260784e-10,19233.29765
100.0,7.008716972e-10,22703.54364
100.0,7.52604446e-10,21143.03777
100.0,8.621875368e-10,18455.76265
100.0,7.880674201e-10,20191.52195
100.0,8.44480291e-10,18842.72476
100.0,7.995248723e-10,19902.20167
100.0,7.971474789e-10,19961.39858
100.0,7.856745257e-10,20253.00197
100.0,7.680325456e-10,20718.40935
100.0,8.233924861e-10,19325.23163
100.0,7.547179544e-10,21083.74558
100.0,7.485834116e-10,21256.62744
100.0,7.761996494e-10,20500.2867
100.0,8.831390328e-10,18017.8033
100.0,8.44089902e-10,18851.36392
Freq,100,Rs,20027.49741,1217.9467770916674,Ls,7.972524580187499e-10,4.8018173455796265e-11
":SOUR:DCS:STAT OFF;:BIAS:STAT OFF;:COMP:BIN:COUN:CLE;:LIST:CLE:ALL;:COMP:BIN:CLE;:AMPL:ALC OFF;:APER MED,1;:BIAS:POL:AUTO OFF;:BIAS:RANG:AUTO ON;:BIAS:VOLT:LEV 0;:COMP:ABIN OFF;:COMP:BIN:COUN:STAT OFF;:COMP:MODE PTOL;:COMP:SLIM -9.9e+037,9.9e+037;:COMP:STAT OFF;:COMP:SWAP OFF;:COMP:TOL:NOM 0;:DISP:ENAB ON;:DISP:LINE """";:DISP:WIND:TEXT1:DATA:FMSD:DATA 1e-009;:DISP:WIND:TEXT2:DATA:FMSD:DATA 1e-009;:FORM:ASC:LONG ON;:FORM:BORD NORM;:FORM:DATA ASC,64;:FREQ:CW 100;:FUNC:DEV1:MODE OFF;:FUNC:DEV1:REF:VAL 0;:FUNC:DEV2:MODE OFF;:FUNC:DEV2:REF:VAL 0;:FUNC:IMP:TYPE CPD;:FUNC:SMON:IDC:STAT OFF;:FUNC:SMON:VDC:STAT OFF;:INIT:CONT OFF;:LIST:MODE SEQ;:LIST:STIM:TYPE FREQ,NONE;:SOUR:DCS:VOLT:LEV 0;:TRIG:DEL 0;:TRIG:SOUR INT;:TRIG:TDEL 0;:VOLT:LEV 1;:DISP:WIND:TEXT1:DATA:FMSD:STAT OFF;:DISP:WIND:TEXT2:DATA:FMSD:STAT OFF;:FUNC:DCR:RANG:VAL 100;:FUNC:IMP:RANG:VAL 100;:OUTP:DC:ISOL:LEV:VAL 0.02;:OUTP:DC:ISOL:STAT OFF;:FUNC:DCR:RANG:AUTO ON;:FUNC:IMP:RANG:AUTO ON;:OUTP:DC:ISOL:LEV:AUTO ON;:DISP:PAGE MEASurement;
"
200.0,5.724850771e-10,13897.29355
200.0,5.711628156e-10,13929.47666
200.0,6.031093067e-10,13191.68247
200.0,5.785806576e-10,13750.91285
200.0,6.223899621e-10,12782.8689
200.0,6.346127861e-10,12536.7013
200.0,5.566883805e-10,14291.60173
200.0,6.506873167e-10,12226.99188
200.0,6.188485188e-10,12856.05356
200.0,5.999545294e-10,13260.88458
200.0,6.193423044e-10,12845.82792
200.0,5.58067567e-10,14256.43889
200.0,5.486600118e-10,14500.77933
200.0,6.094186157e-10,13055.07009
200.0,6.150510405e-10,12935.51223
200.0,6.108154976e-10,13025.16409
Freq,200,Rs,13333.953751875,681.3806363811518,Ls,5.98117149225e-10,3.022204484251352e-11
":SOUR:DCS:STAT OFF;:BIAS:STAT OFF;:COMP:BIN:COUN:CLE;:LIST:CLE:ALL;:COMP:BIN:CLE;:AMPL:ALC OFF;:APER MED,1;:BIAS:POL:AUTO OFF;:BIAS:RANG:AUTO ON;:BIAS:VOLT:LEV 0;:COMP:ABIN OFF;:COMP:BIN:COUN:STAT OFF;:COMP:MODE PTOL;:COMP:SLIM -9.9e+037,9.9e+037;:COMP:STAT OFF;:COMP:SWAP OFF;:COMP:TOL:NOM 0;:DISP:ENAB ON;:DISP:LINE """";:DISP:WIND:TEXT1:DATA:FMSD:DATA 1e-009;:DISP:WIND:TEXT2:DATA:FMSD:DATA 1e-009;:FORM:ASC:LONG ON;:FORM:BORD NORM;:FORM:DATA ASC,64;:FREQ:CW 200;:FUNC:DEV1:MODE OFF;:FUNC:DEV1:REF:VAL 0;:FUNC:DEV2:MODE OFF;:FUNC:DEV2:REF:VAL 0;:FUNC:IMP:TYPE CPD;:FUNC:SMON:IDC:STAT OFF;:FUNC:SMON:VDC:STAT OFF;:INIT:CONT OFF;:LIST:MODE SEQ;:LIST:STIM:TYPE FREQ,NONE;:SOUR:DCS:VOLT:LEV 0;:TRIG:DEL 0;:TRIG:SOUR INT;:TRIG:TDEL 0;:VOLT:LEV 1;:DISP:WIND:TEXT1:DATA:FMSD:STAT OFF;:DISP:WIND:TEXT2:DATA:FMSD:STAT OFF;:FUNC:DCR:RANG:VAL 100;:FUNC:IMP:RANG:VAL 100;:OUTP:DC:ISOL:LEV:VAL 0.02;:OUTP:DC:ISOL:STAT OFF;:FUNC:DCR:RANG:AUTO ON;:FUNC:IMP:RANG:AUTO ON;:OUTP:DC:ISOL:LEV:AUTO ON;:DISP:PAGE MEASurement;
"
300.0,2.566346616e-10,20667.4949
300.0,2.517154875e-10,21071.45499
300.0,2.482687435e-10,21364.05666
300.0,2.323781741e-10,22824.94269
300.0,2.69524137e-10,19679.18957
300.0,2.451055987e-10,21639.76217
300.0,2.732665273e-10,19409.70264
300.0,2.539712412e-10,20884.35222
300.0,2.691931256e-10,19703.43022
300.0,2.588406965e-10,20491.45656
300.0,2.077478157e-10,25531.00218
300.0,2.664594334e-10,19905.47098
300.0,2.489462764e-10,21305.90815
300.0,2.461183617e-10,21550.65816
300.0,2.387307231e-10,22217.61164
300.0,2.740785255e-10,19352.11145
Freq,300,Rs,21099.912823749997,1557.3001517896737,Ls,2.5256122055e-10,1.7211280426858367e-11
":SOUR:DCS:STAT OFF;:BIAS:STAT OFF;:COMP:BIN:COUN:CLE;:LIST:CLE:ALL;:COMP:BIN:CLE;:AMPL:ALC OFF;:APER MED,1;:BIAS:POL:AUTO OFF;:BIAS:RANG:AUTO ON;:BIAS:VOLT:LEV 0;:COMP:ABIN OFF;:COMP:BIN:COUN:STAT OFF;:COMP:MODE PTOL;:COMP:SLIM -9.9e+037,9.9e+037;:COMP:STAT OFF;:COMP:SWAP OFF;:COMP:TOL:NOM 0;:DISP:ENAB ON;:DISP:LINE """";:DISP:WIND:TEXT1:DATA:FMSD:DATA 1e-009;:DISP:WIND:TEXT2:DATA:FMSD:DATA 1e-009;:FORM:ASC:LONG ON;:FORM:BORD NORM;:FORM:DATA ASC,64;:FREQ:CW 300;:FUNC:DEV1:MODE OFF;:FUNC:DEV1:REF:VAL 0;:FUNC:DEV2:MODE OFF;:FUNC:DEV2:REF:VAL 0;:FUNC:IMP:TYPE CPD;:FUNC:SMON:IDC:STAT OFF;:FUNC:SMON:VDC:STAT OFF;:INIT:CONT OFF;:LIST:MODE SEQ;:LIST:STIM:TYPE FREQ,NONE;:SOUR:DCS:VOLT:LEV 0;:TRIG:DEL 0;:TRIG:SOUR INT;:TRIG:TDEL 0;:VOLT:LEV 1;:DISP:WIND:TEXT1:DATA:FMSD:STAT OFF;:DISP:WIND:TEXT2:DATA:FMSD:STAT OFF;:FUNC:DCR:RANG:VAL 100;:FUNC:IMP:RANG:VAL 100;:OUTP:DC:ISOL:LEV:VAL 0.02;:OUTP:DC:ISOL:STAT OFF;:FUNC:DCR:RANG:AUTO ON;:FUNC:IMP:RANG:AUTO ON;:OUTP:DC:ISOL:LEV:AUTO ON;:DISP:PAGE MEASurement;
"
500.0,9.66280131e-11,32934.8369
500.0,8.70801512e-11,36546.02871
500.0,9.509029423e-11,33467.49061
500.0,1.13932201e-10,27932.69558
500.0,9.946611225e-11,31995.19677
500.0,9.675777778e-11,32890.6919
500.0,8.15963256e-11,39002.06264
500.0,8.946887674e-11,35570.21486
500.0,9.23251331e-11,34469.79461
500.0,1.063499228e-10,29924.10668
500.0,8.717537267e-11,36505.99481
500.0,1.058065759e-10,30077.84455
500.0,9.890617378e-11,32176.15469
500.0,9.730890628e-11,32704.52552
500.0,9.774424289e-11,32558.76492
500.0,9.205393518e-11,34571.33577
Freq,500,Rs,33332.98372,2783.7048907254184,Ls,9.610562590625e-11,8.117150481980386e-12
