lcr name:,KeySight E4980A
Name and description of Resistor under test: ,100 ohm
lcr name:,KeySight E4980A
Name and description of Resistor under test: ,100 ohm
lcr name:,KeySight E4980A
Name and description of Resistor under test: ,100 ohm
2024-04-18,14:05:33
select the freq range,"[50, 100]"
50.0,-2.651818409e-05,100.0203352
50.0,-2.7773952e-05,100.0196963
50.0,-2.821817226e-05,100.0201312
50.0,-2.909276761e-05,100.0203992
50.0,-2.778678787e-05,100.0199539
50.0,-2.929675173e-05,100.0200826
50.0,-2.901397836e-05,100.0203439
50.0,-2.819813948e-05,100.0203539
50.0,-2.762860519e-05,100.0203407
50.0,-2.935451579e-05,100.0202609
50.0,-2.757355162e-05,100.0195463
50.0,-2.912261078e-05,100.0199827
50.0,-2.912024511e-05,100.0198497
50.0,-2.979560574e-05,100.0203203
50.0,-3.010944204e-05,100.0200362
50.0,-2.928353746e-05,100.0202485
Freq,50,Rs,100.02011759375,0.0002570223997202705,Ls,-2.8617927945625004e-05,9.717618533253942e-07
":SOUR:DCS:STAT OFF;:BIAS:STAT OFF;:COMP:BIN:COUN:CLE;:LIST:CLE:ALL;:COMP:BIN:CLE;:AMPL:ALC OFF;:APER LONG,1;:BIAS:POL:AUTO OFF;:BIAS:RANG:AUTO ON;:BIAS:VOLT:LEV 0;:COMP:ABIN OFF;:COMP:BIN:COUN:STAT OFF;:COMP:MODE PTOL;:COMP:SLIM -9.9e+037,9.9e+037;:COMP:STAT OFF;:COMP:SWAP OFF;:COMP:TOL:NOM 0;:DISP:ENAB ON;:DISP:LINE """";:DISP:WIND:TEXT1:DATA:FMSD:DATA 1e-009;:DISP:WIND:TEXT2:DATA:FMSD:DATA 1e-009;:FORM:ASC:LONG ON;:FORM:BORD NORM;:FORM:DATA ASC,64;:FREQ:CW 50;:FUNC:DEV1:MODE OFF;:FUNC:DEV1:REF:VAL 0;:FUNC:DEV2:MODE OFF;:FUNC:DEV2:REF:VAL 0;:FUNC:IMP:TYPE LSRS;:FUNC:SMON:IDC:STAT OFF;:FUNC:SMON:VDC:STAT OFF;:INIT:CONT OFF;:LIST:MODE SEQ;:LIST:STIM:TYPE FREQ,NONE;:SOUR:DCS:VOLT:LEV 0;:TRIG:DEL 0;:TRIG:SOUR INT;:TRIG:TDEL 0;:VOLT:LEV 1;:DISP:WIND:TEXT1:DATA:FMSD:STAT OFF;:DISP:WIND:TEXT2:DATA:FMSD:STAT OFF;:FUNC:DCR:RANG:VAL 100;:FUNC:IMP:RANG:VAL 100;:OUTP:DC:ISOL:LEV:VAL 0.02;:OUTP:DC:ISOL:STAT OFF;:FUNC:DCR:RANG:AUTO ON;:FUNC:IMP:RANG:AUTO ON;:OUTP:DC:ISOL:LEV:AUTO ON;:DISP:PAGE MEASurement;
"
100.0,-7.215491876e-06,100.0194255
100.0,-7.130708533e-06,100.0197643
100.0,-7.565328538e-06,100.0195694
100.0,-7.353688152e-06,100.0193382
100.0,-6.974524133e-06,100.0192837
100.0,-7.55498871e-06,100.0195148
100.0,-7.101871294e-06,100.0190924
100.0,-7.371790981e-06,100.0196336
100.0,-6.78985501e-06,100.0193386
100.0,-7.038252008e-06,100.0192533
100.0,-7.02398641e-06,100.019099
100.0,-6.616935482e-06,100.0194589
100.0,-7.782542968e-06,100.0195334
100.0,-7.203405345e-06,100.0193564
100.0,-7.591299918e-06,100.0193838
100.0,-7.64948008e-06,100.0197189
Freq,100,Rs,100.0194227625,0.00019570367353050777,Ls,-7.247759339875e-06,3.267487283726889e-07
