DUT,Measurement Condition,frequency,Dial,L,L_Std,R,R_Std
BBT,Temperature at Dial 0 is 20.50 as setting,1591.5494309189535,Dial 0,2.2802290586666667e-07,1.1070637343454971e-10,0.008680288173222223,1.093776286755321e-06
BBT,Temperature at Dial 0 is 20.50 as setting,1671.126902464901,Dial 0,2.2799067761111107e-07,7.808655743900959e-11,0.008680616808,1.0025969587075386e-06
BBT,Temperature at Dial 1 is 20.50 as setting,1591.5494309189535,Dial 1,0.10390548698888889,6.873629762412431e-08,168.19802844444445,0.000808252038525881
BBT,Temperature at Dial 1 is 20.50 as setting,1671.126902464901,Dial 1,0.10392298696666666,5.167330064814715e-08,168.4810451666667,0.0006216881794749977
BBT,Temperature at Dial 2 is 20.50 as setting,1591.5494309189535,Dial 2,0.20769455376666668,1.2329047003274169e-07,243.99316797777777,0.0016271866055957754
BBT,Temperature at Dial 2 is 20.50 as setting,1671.126902464901,Dial 2,0.20772913955555555,1.9755160788334572e-07,244.58129962222222,0.0016715665038940486
BBT,Temperature at Dial 3 is 20.50 as setting,1591.5494309189535,Dial 3,0.30430098282222223,2.0622350603972327e-07,301.4652193222222,0.0024128753618710905
BBT,Temperature at Dial 3 is 20.50 as setting,1671.126902464901,Dial 3,0.30435132993333336,2.4774074654125133e-07,302.3465063888889,0.0029384952579675637
BBT,Temperature at Dial 4 is 20.50 as setting,1591.5494309189535,Dial 4,0.39892443675555556,4.309275406331345e-07,350.27295749999996,0.004458417058212241
BBT,Temperature at Dial 4 is 20.50 as setting,1671.126902464901,Dial 4,0.3989909775111111,3.1580466052775004e-07,351.4638777,0.0022569048623108396
BBT,Temperature at Dial 5 is 20.50 as setting,1591.5494309189535,Dial 5,0.4946914494555556,5.183234996483888e-07,395.9494164111111,0.006291112535639089
BBT,Temperature at Dial 5 is 20.50 as setting,1671.126902464901,Dial 5,0.4947711971111111,4.985756824331053e-07,397.45492390000004,0.0026545252014250095
BBT,Temperature at Dial 6 is 20.50 as setting,1591.5494309189535,Dial 6,0.5923424088333333,4.823819959404728e-07,439.4572819333333,0.005200538993928635
BBT,Temperature at Dial 6 is 20.50 as setting,1671.126902464901,Dial 6,0.5924431888555556,2.7069932172551456e-07,441.3145396888889,0.005491951159974088
BBT,Temperature at Dial 7 is 20.50 as setting,1591.5494309189535,Dial 7,0.6897924876333332,4.2945601347175217e-07,480.6197897333334,0.00389681050764435
BBT,Temperature at Dial 7 is 20.50 as setting,1671.126902464901,Dial 7,0.6899074156111111,4.963089119930992e-07,482.7918286444444,0.003392528469694257
BBT,Temperature at Dial 8 is 20.50 as setting,1591.5494309189535,Dial 8,0.7830846359555556,5.132629275320512e-07,518.7065126,0.0073255115761484075
BBT,Temperature at Dial 8 is 20.50 as setting,1671.126902464901,Dial 8,0.7832218831333333,5.894356920042519e-07,521.2260516222224,0.006715578671397086
BBT,Temperature at Dial 9 is 20.50 as setting,1591.5494309189535,Dial 9,0.8782789795333333,9.354972808772915e-07,556.7063479888889,0.011540550270076052
BBT,Temperature at Dial 9 is 20.50 as setting,1671.126902464901,Dial 9,0.8784320373111112,6.469494888352273e-07,559.6168406,0.010336186826023311
BBT,Temperature at Dial 10 is 20.50 as setting,1591.5494309189535,Dial 10,0.9850579474222223,9.394592258024397e-07,597.3622878333333,0.011678402349544701
BBT,Temperature at Dial 10 is 20.50 as setting,1671.126902464901,Dial 10,0.985253736111111,5.23511796552803e-07,600.7005255111112,0.008740533834732955
