DUT,Measurement Condition,frequency,Dial,L,L_Std,R,R_Std
RBT,Temperature at Dial 0 is 20.50 as setting,1591.5494309189535,Dial 0,2.760837316444445e-07,6.043798018520282e-11,0.00838294432522222,2.2714630513994164e-05
RBT,Temperature at Dial 0 is 20.50 as setting,1671.126902464901,Dial 0,2.7506910322222223e-07,7.120167015911422e-11,0.008333371711444444,1.3699302800641812e-05
RBT,Temperature at Dial 1 is 20.50 as setting,1591.5494309189535,Dial 1,0.01015059179888889,4.7104709016248764e-09,19.496524284444448,0.00011506975863686654
RBT,Temperature at Dial 1 is 20.50 as setting,1671.126902464901,Dial 1,0.010149788584444444,6.596004682911062e-09,19.52263013888889,0.0001469142467946066
RBT,Temperature at Dial 2 is 20.50 as setting,1591.5494309189535,Dial 2,0.01999026580888889,9.207728336104481e-09,28.0331651,0.00019649499656463742
RBT,Temperature at Dial 2 is 20.50 as setting,1671.126902464901,Dial 2,0.019988461166666666,1.2862940954741493e-08,28.086322323333334,0.00012661159544090345
RBT,Temperature at Dial 3 is 20.50 as setting,1591.5494309189535,Dial 3,0.029267154211111108,1.4982739606568194e-08,34.51119454777777,0.0003425029719496818
RBT,Temperature at Dial 3 is 20.50 as setting,1671.126902464901,Dial 3,0.029263675688888893,1.8900221853788745e-08,34.58587931555556,0.00015642882999352453
RBT,Temperature at Dial 4 is 20.50 as setting,1591.5494309189535,Dial 4,0.03934805497333334,2.8608366347524302e-08,40.59698259666667,0.00017962117518647685
RBT,Temperature at Dial 4 is 20.50 as setting,1671.126902464901,Dial 4,0.03934459421222222,1.5220058950866582e-08,40.70447653222222,0.00025617703721163884
RBT,Temperature at Dial 5 is 20.50 as setting,1591.5494309189535,Dial 5,0.049049860178888884,3.9998010403059075e-08,45.96805110555555,0.00031156154733383295
RBT,Temperature at Dial 5 is 20.50 as setting,1671.126902464901,Dial 5,0.049045241375555555,3.6016278302251034e-08,46.103619331111105,0.00030393389756138095
RBT,Temperature at Dial 6 is 20.50 as setting,1591.5494309189535,Dial 6,0.05909278858,3.3540419272153346e-08,51.1034323,0.00034182208230227104
RBT,Temperature at Dial 6 is 20.50 as setting,1671.126902464901,Dial 6,0.059087316513333335,3.414685454012101e-08,51.26996775222222,0.0005107838825226873
RBT,Temperature at Dial 7 is 20.50 as setting,1591.5494309189535,Dial 7,0.0689366572377778,6.590614876179985e-08,55.823813165555556,0.0005470309967246755
RBT,Temperature at Dial 7 is 20.50 as setting,1671.126902464901,Dial 7,0.06892942747111112,5.781526970632918e-08,56.019440744444445,0.0005359972015817749
RBT,Temperature at Dial 8 is 20.50 as setting,1591.5494309189535,Dial 8,0.0788704719211111,6.17847931234553e-08,60.38863393555555,0.0007344944842385434
RBT,Temperature at Dial 8 is 20.50 as setting,1671.126902464901,Dial 8,0.07886287396333334,6.360669284768068e-08,60.617667370000014,0.0005628483523566107
RBT,Temperature at Dial 9 is 20.50 as setting,1591.5494309189535,Dial 9,0.08897468270333334,1.0203203063426686e-07,64.92406079888889,0.0006799829489300269
RBT,Temperature at Dial 9 is 20.50 as setting,1671.126902464901,Dial 9,0.08896620137444446,3.8743661129760683e-08,65.18409847333334,0.001025178031793647
RBT,Temperature at Dial 10 is 20.50 as setting,1591.5494309189535,Dial 10,0.10108457576666667,8.74464836350723e-08,69.99026303333333,0.0008808336021063337
RBT,Temperature at Dial 10 is 20.50 as setting,1671.126902464901,Dial 10,0.10107480696666667,5.3651980394898284e-08,70.28588746333334,0.0007316908164464193
