lcr name:,KeySight E4980A
Name and description of Device under test: ,Test_Run Twisted wire
GPIB source:,<bound method MessageBasedResource.read of <'GPIBInstrument'('GPIB0::17::INSTR')>>
2025-01-15,08:48:27
select the freq range,"[1000, 1591.5494309189535, 2000]"
1000.0,-5745.049532,675764.614
1000.0,-5740.96749,670390.9008
1000.0,-5740.472447,670497.3402
1000.0,-5744.301171,674625.0568
1000.0,-5738.636298,675396.5186
1000.0,-5741.577625,672471.614
1000.0,-5744.147934,677155.157
1000.0,-5740.728169,663479.639
1000.0,-5739.436573,673571.5459
1000.0,-5746.47591,676730.2783
1000.0,-5740.345823,670061.1182
1000.0,-5740.352113,676505.814
1000.0,-5746.109882,686495.4561
1000.0,-5739.258501,681869.1252
1000.0,-5738.918107,672996.9813
1000.0,-5745.562237,670431.4566
Freq,1000,Rs,674277.6635,5251.770859582224,Ls,-5742.021238249999,2.7611915657963615
":SOUR:DCS:STAT OFF;:BIAS:STAT OFF;:COMP:BIN:COUN:CLE;:LIST:CLE:ALL;:COMP:BIN:CLE;:AMPL:ALC ON;:APER MED,25;:BIAS:POL:AUTO OFF;:BIAS:RANG:AUTO ON;:BIAS:VOLT:LEV 0;:COMP:ABIN OFF;:COMP:BIN:COUN:STAT OFF;:COMP:MODE PTOL;:COMP:SLIM -9.9e+037,9.9e+037;:COMP:STAT OFF;:COMP:SWAP OFF;:COMP:TOL:NOM 0;:DISP:ENAB ON;:DISP:LINE """";:DISP:WIND:TEXT1:DATA:FMSD:DATA 1e-009;:DISP:WIND:TEXT2:DATA:FMSD:DATA 1e-009;:FORM:ASC:LONG ON;:FORM:BORD NORM;:FORM:DATA ASC,64;:FREQ:CW 1000;:FUNC:DEV1:MODE OFF;:FUNC:DEV1:REF:VAL 0;:FUNC:DEV2:MODE OFF;:FUNC:DEV2:REF:VAL 0;:FUNC:IMP:TYPE LSRS;:FUNC:SMON:IDC:STAT OFF;:FUNC:SMON:VDC:STAT OFF;:INIT:CONT OFF;:LIST:MODE SEQ;:LIST:STIM:TYPE FREQ,NONE;:SOUR:DCS:VOLT:LEV 0;:TRIG:DEL 0;:TRIG:SOUR INT;:TRIG:TDEL 0;:VOLT:LEV 1;:DISP:WIND:TEXT1:DATA:FMSD:STAT OFF;:DISP:WIND:TEXT2:DATA:FMSD:STAT OFF;:FUNC:DCR:RANG:VAL 100;:FUNC:IMP:RANG:VAL 100000;:OUTP:DC:ISOL:LEV:VAL 2e-005;:OUTP:DC:ISOL:STAT OFF;:FUNC:DCR:RANG:AUTO ON;:FUNC:IMP:RANG:AUTO ON;:OUTP:DC:ISOL:LEV:AUTO ON;:DISP:PAGE MLARge;
"
1591.5494309189535,-2277.709096,452280.9752
1591.5494309189535,-2278.04439,447954.9613
1591.5494309189535,-2277.669727,449809.512
1591.5494309189535,-2278.11929,447305.0819
1591.5494309189535,-2277.749692,450844.1204
1591.5494309189535,-2278.277415,449296.4758
1591.5494309189535,-2277.887037,447564.3615
1591.5494309189535,-2277.83773,448450.7401
1591.5494309189535,-2278.120872,448490.6107
1591.5494309189535,-2277.537676,448687.0767
1591.5494309189535,-2278.560185,443784.5047
1591.5494309189535,-2278.534989,451387.4303
1591.5494309189535,-2277.583028,458458.9413
1591.5494309189535,-2277.965502,448015.4121
1591.5494309189535,-2277.777003,452080.8923
1591.5494309189535,-2277.818646,447895.3979
Freq,1591.5494309189535,Rs,449519.15588750003,3176.3255315807432,Ls,-2277.949517375,0.30917978505413296
